Id,GeoFips,Metro name,2014 lower income share,2014 middle income share,2014 upper income share,2000 to 2014 lower income change,2000 to 2014 middle income change,2000 to 2014 upper income change
159,38060,"Phoenix-Mesa-Scottsdale, AZ",29.13,52.31,18.56,1.81,-3.54,1.73
160,38300,"Pittsburgh, PA",23.57,54.57,21.86,-2.00,-2.76,4.76
161,38860,"Port St. Lucie, FL",29.78,54.87,15.35,1.03,-0.25,-0.78
162,38900,"Portland-South Portland, ME",22.05,56.99,20.97,-0.78,-5.02,5.81
163,38940,"Portland-Vancouver-Hillsboro, OR-WA",25.03,53.68,21.29,3.06,-5.67,2.61
164,39140,"Prescott, AZ",32.85,52.76,14.39,-1.22,-0.55,1.77
165,39300,"Providence-Warwick, RI-MA",25.52,52.27,22.21,-0.89,-5.34,6.23
166,39340,"Provo-Orem, UT",27.96,58.25,13.79,-0.46,-1.89,2.34
167,39380,"Pueblo, CO",37.10,51.18,11.72,4.43,-6.07,1.64
168,39460,"Punta Gorda, FL",28.77,53.98,17.25,0.71,-5.83,5.12
169,39540,"Racine, WI",23.26,55.12,21.62,6.60,-7.74,1.14
170,39580,"Raleigh, NC",24.67,50.36,24.96,5.43,-5.14,-0.30
171,39740,"Reading, PA",25.04,56.93,18.03,3.66,-6.48,2.82
172,39820,"Redding, CA",32.50,53.20,14.30,-2.78,0.04,2.74
173,39900,"Reno, NV",30.40,52.75,16.84,7.20,-6.24,-0.97
174,40060,"Richmond, VA",21.60,54.19,24.21,1.17,-4.65,3.49
175,40140,"Riverside-San Bernardino-Ontario, CA",35.67,50.96,13.37,0.89,-2.00,1.11
176,40380,"Rochester, NY",25.22,56.74,18.04,3.00,-2.89,-0.11
177,40420,"Rockford, IL",28.16,53.66,18.18,8.27,-6.87,-1.40
178,40580,"Rocky Mount, NC",36.04,51.68,12.28,6.29,-3.21,-3.08
179,40900,"Sacramento--Roseville--Arden-Arcade, CA",29.44,48.85,21.71,3.36,-6.05,2.69
180,40980,"Saginaw, MI",26.66,58.49,14.85,1.92,-0.13,-1.79
181,41500,"Salinas, CA",34.00,50.64,15.36,4.71,-3.51,-1.20
182,41540,"Salisbury, MD-DE",23.14,54.34,22.52,-1.40,-3.93,5.33
183,41620,"Salt Lake City, UT",24.05,58.19,17.75,3.35,-4.81,1.44
